Datetime,close,high,low,open,volume
2026-04-08 03:45:00+00:00,6415.5,6452.0,6376.5,6376.5,0
2026-04-08 03:50:00+00:00,6404.0,6425.5,6387.5,6415.0,23414
2026-04-08 03:55:00+00:00,6448.0,6464.5,6393.0,6403.0,29348
2026-04-08 04:00:00+00:00,6440.0,6459.5,6434.5,6453.0,11521
2026-04-08 04:05:00+00:00,6437.0,6439.0,6418.5,6439.0,4031
2026-04-08 04:10:00+00:00,6434.0,6441.0,6430.0,6437.0,4597
2026-04-08 04:15:00+00:00,6415.0,6453.5,6410.5,6436.0,8534
2026-04-08 04:20:00+00:00,6419.0,6424.0,6405.0,6412.5,4575
2026-04-08 04:25:00+00:00,6413.0,6420.5,6409.5,6416.5,3887
2026-04-08 04:30:00+00:00,6408.0,6420.0,6408.0,6415.0,5399
2026-04-08 04:35:00+00:00,6442.5,6443.0,6409.0,6413.5,2835
2026-04-08 04:40:00+00:00,6437.0,6449.5,6436.0,6439.5,2569
2026-04-08 04:45:00+00:00,6452.0,6452.0,6432.5,6437.5,3021
2026-04-08 04:50:00+00:00,6456.0,6460.0,6445.0,6451.0,4002
2026-04-08 04:55:00+00:00,6506.0,6506.5,6455.0,6456.0,17116
2026-04-08 05:00:00+00:00,6507.5,6527.0,6506.0,6507.0,7887
2026-04-08 05:05:00+00:00,6489.5,6505.0,6479.0,6505.0,4643
2026-04-08 05:10:00+00:00,6524.5,6524.5,6490.0,6490.0,8671
2026-04-08 05:15:00+00:00,6515.5,6521.0,6510.5,6521.0,4055
2026-04-08 05:20:00+00:00,6525.0,6535.0,6511.5,6515.5,6682
2026-04-08 05:25:00+00:00,6514.0,6526.5,6507.0,6525.0,5505
2026-04-08 05:30:00+00:00,6512.0,6515.0,6502.0,6512.5,3256
2026-04-08 05:35:00+00:00,6505.5,6512.0,6500.0,6511.5,3368
2026-04-08 05:40:00+00:00,6489.5,6507.0,6487.0,6507.0,5370
2026-04-08 05:45:00+00:00,6488.0,6496.0,6455.0,6495.0,22351
2026-04-08 05:50:00+00:00,6495.0,6508.0,6486.0,6489.0,4764
2026-04-08 05:55:00+00:00,6507.0,6509.0,6496.0,6498.5,3636
2026-04-08 06:00:00+00:00,6514.0,6514.5,6501.0,6507.0,5383
2026-04-08 06:05:00+00:00,6510.5,6525.0,6509.0,6522.5,6013
2026-04-08 06:10:00+00:00,6511.5,6513.0,6503.0,6504.5,4175
2026-04-08 06:15:00+00:00,6506.0,6513.0,6493.5,6510.0,4320
2026-04-08 06:20:00+00:00,6479.0,6505.5,6466.5,6503.0,14673
2026-04-08 06:25:00+00:00,6486.0,6489.0,6473.0,6479.0,6152
2026-04-08 06:30:00+00:00,6485.0,6490.0,6482.0,6486.0,4866
2026-04-08 06:35:00+00:00,6494.5,6495.5,6482.0,6487.0,5503
2026-04-08 06:40:00+00:00,6499.0,6504.0,6484.5,6495.0,5854
2026-04-08 06:45:00+00:00,6512.0,6512.5,6497.5,6499.5,3244
2026-04-08 06:50:00+00:00,6526.0,6529.0,6509.5,6512.0,6639
2026-04-08 06:55:00+00:00,6515.0,6527.5,6512.5,6525.0,3575
2026-04-08 07:00:00+00:00,6508.5,6514.0,6501.5,6513.0,4301
2026-04-08 07:05:00+00:00,6504.5,6516.5,6499.0,6514.5,3672
