Datetime,close,high,low,open,volume
2025-12-04 03:45:00+00:00,5162.5,5163.0,5095.0,5106.0,0
2025-12-04 04:45:00+00:00,5132.5,5164.0,5130.5,5160.0,12027
2025-12-04 05:45:00+00:00,5143.0,5144.5,5113.5,5133.0,5967
2025-12-04 06:45:00+00:00,5167.0,5174.0,5138.5,5144.5,11952
2025-12-04 07:45:00+00:00,5172.0,5179.0,5158.0,5169.0,13393
2025-12-04 08:45:00+00:00,5173.0,5181.5,5160.0,5175.0,15337
2025-12-04 09:45:00+00:00,5169.0,5179.0,5164.5,5171.0,11088
2025-12-05 03:45:00+00:00,5159.0,5194.0,5150.5,5172.5,0
2025-12-05 04:45:00+00:00,5173.5,5178.0,5140.5,5159.5,8844
2025-12-05 05:45:00+00:00,5166.0,5180.0,5165.5,5175.5,9786
2025-12-05 06:45:00+00:00,5151.0,5169.5,5150.0,5164.0,10100
2025-12-05 07:45:00+00:00,5164.5,5170.5,5151.0,5151.0,7769
2025-12-05 08:45:00+00:00,5169.5,5174.5,5146.0,5163.5,21698
2025-12-05 09:45:00+00:00,5173.5,5185.5,5169.0,5169.5,21370
2025-12-08 03:45:00+00:00,5121.0,5194.0,5116.5,5180.0,0
2025-12-08 04:45:00+00:00,5125.0,5142.5,5111.0,5119.5,12407
2025-12-08 05:45:00+00:00,5125.0,5136.5,5121.0,5123.0,13267
2025-12-08 06:45:00+00:00,5103.0,5127.5,5098.5,5125.0,29632
2025-12-08 07:45:00+00:00,5066.5,5103.0,5063.0,5101.5,18997
2025-12-08 08:45:00+00:00,5060.0,5073.0,5049.0,5065.5,25737
2025-12-08 09:45:00+00:00,5057.5,5064.0,5049.0,5060.0,13685
2025-12-09 03:45:00+00:00,5045.5,5050.0,4982.5,5043.0,0
2025-12-09 04:45:00+00:00,5064.5,5075.5,5047.5,5048.0,14974
2025-12-09 05:45:00+00:00,5085.0,5085.0,5044.5,5063.5,6705
2025-12-09 06:45:00+00:00,5083.0,5099.0,5061.5,5085.0,11254
2025-12-09 07:45:00+00:00,5116.0,5127.0,5079.0,5080.5,8759
2025-12-09 08:45:00+00:00,5121.0,5127.5,5057.5,5115.5,19666
2025-12-09 09:45:00+00:00,5108.0,5124.5,5104.0,5120.5,13722
2025-12-10 03:45:00+00:00,5127.5,5138.0,5098.5,5129.5,0
2025-12-10 04:45:00+00:00,5150.0,5191.5,5128.5,5128.5,20515
2025-12-10 05:45:00+00:00,5156.0,5168.0,5139.0,5150.0,7309
2025-12-10 06:45:00+00:00,5151.0,5158.0,5141.5,5156.0,5555
2025-12-10 07:45:00+00:00,5157.5,5161.0,5147.5,5150.0,7409
2025-12-10 08:45:00+00:00,5151.0,5163.0,5142.0,5158.0,43675
2025-12-10 09:45:00+00:00,5161.0,5161.0,5150.0,5151.0,19414
2025-12-11 03:45:00+00:00,5237.5,5253.0,5153.0,5160.0,0
2025-12-11 04:45:00+00:00,5209.5,5242.5,5195.5,5239.5,32929
2025-12-11 05:45:00+00:00,5234.0,5237.5,5195.0,5209.5,27545
2025-12-11 06:45:00+00:00,5218.0,5238.0,5216.0,5234.5,9703
2025-12-11 07:45:00+00:00,5225.0,5236.5,5210.5,5214.5,10679
