Datetime,close,high,low,open,volume
2025-12-04 03:45:00+00:00,26041.900390625,26044.849609375,25940.099609375,25981.849609375,0
2025-12-04 04:45:00+00:00,26077.05078125,26097.80078125,26037.150390625,26042.75,0
2025-12-04 05:45:00+00:00,26027.80078125,26077.44921875,26014.400390625,26077.05078125,0
2025-12-04 06:45:00+00:00,26001.0,26030.75,25989.25,26028.150390625,0
2025-12-04 07:45:00+00:00,26004.30078125,26027.599609375,25962.400390625,26000.80078125,0
2025-12-04 08:45:00+00:00,26038.599609375,26059.05078125,25988.150390625,26004.05078125,0
2025-12-04 09:45:00+00:00,26010.349609375,26040.900390625,26004.900390625,26037.69921875,0
2025-12-05 03:45:00+00:00,26078.55078125,26102.05078125,25991.849609375,26001.150390625,0
2025-12-05 04:45:00+00:00,26143.5,26146.349609375,26007.25,26077.150390625,0
2025-12-05 05:45:00+00:00,26130.150390625,26156.400390625,26121.5,26142.94921875,0
2025-12-05 06:45:00+00:00,26180.94921875,26202.55078125,26127.44921875,26130.099609375,0
2025-12-05 07:45:00+00:00,26165.099609375,26200.400390625,26148.30078125,26180.25,0
2025-12-05 08:45:00+00:00,26188.650390625,26196.69921875,26122.80078125,26165.19921875,0
2025-12-05 09:45:00+00:00,26176.650390625,26199.25,26176.400390625,26187.55078125,0
2025-12-08 03:45:00+00:00,26096.5,26178.400390625,26068.69921875,26158.849609375,0
2025-12-08 04:45:00+00:00,26070.69921875,26109.150390625,26051.900390625,26096.599609375,0
2025-12-08 05:45:00+00:00,26035.30078125,26077.849609375,26034.55078125,26070.55078125,0
2025-12-08 06:45:00+00:00,26030.19921875,26050.30078125,26004.69921875,26034.0,0
2025-12-08 07:45:00+00:00,25914.400390625,26031.150390625,25903.099609375,26030.80078125,0
2025-12-08 08:45:00+00:00,25971.150390625,25984.099609375,25892.400390625,25914.05078125,0
2025-12-08 09:45:00+00:00,25932.80078125,25973.349609375,25918.19921875,25970.30078125,0
2025-12-09 03:45:00+00:00,25784.05078125,25889.849609375,25728.05078125,25867.099609375,0
2025-12-09 04:45:00+00:00,25864.400390625,25868.150390625,25778.849609375,25784.05078125,0
2025-12-09 05:45:00+00:00,25893.05078125,25899.69921875,25817.80078125,25865.0,0
2025-12-09 06:45:00+00:00,25876.19921875,25923.150390625,25852.0,25892.150390625,0
2025-12-09 07:45:00+00:00,25885.5,25907.400390625,25864.349609375,25875.55078125,0
2025-12-09 08:45:00+00:00,25837.650390625,25886.099609375,25801.599609375,25884.650390625,0
2025-12-09 09:45:00+00:00,25838.94921875,25847.69921875,25831.80078125,25835.349609375,0
2025-12-10 03:45:00+00:00,25919.849609375,25922.25,25833.80078125,25863.900390625,0
2025-12-10 04:45:00+00:00,25874.650390625,25947.650390625,25822.69921875,25920.80078125,0
2025-12-10 05:45:00+00:00,25830.650390625,25880.80078125,25817.349609375,25876.05078125,0
2025-12-10 06:45:00+00:00,25801.849609375,25839.349609375,25768.05078125,25830.69921875,0
2025-12-10 07:45:00+00:00,25758.5,25850.19921875,25750.55078125,25802.30078125,0
2025-12-10 08:45:00+00:00,25760.099609375,25788.69921875,25734.900390625,25758.44921875,0
2025-12-10 09:45:00+00:00,25742.650390625,25767.400390625,25742.650390625,25761.400390625,0
2025-12-11 03:45:00+00:00,25807.55078125,25807.55078125,25693.30078125,25777.44921875,0
2025-12-11 04:45:00+00:00,25797.44921875,25844.44921875,25764.5,25805.5,0
2025-12-11 05:45:00+00:00,25876.599609375,25889.80078125,25789.900390625,25797.5,0
2025-12-11 06:45:00+00:00,25855.150390625,25918.099609375,25840.80078125,25878.599609375,0
2025-12-11 07:45:00+00:00,25866.19921875,25901.849609375,25850.55078125,25854.05078125,0
2025-12-11 08:45:00+00:00,25895.44921875,25921.75,25848.25,25863.25,0
2025-12-11 09:45:00+00:00,25898.400390625,25903.400390625,25891.05078125,25895.099609375,0
2025-12-12 03:45:00+00:00,25988.5,26038.150390625,25964.900390625,25971.19921875,0
2025-12-12 04:45:00+00:00,25990.44921875,26008.25,25939.05078125,25989.150390625,0
2025-12-12 05:45:00+00:00,26013.650390625,26037.849609375,25989.25,25990.80078125,0
2025-12-12 06:45:00+00:00,26034.05078125,26037.849609375,26007.55078125,26014.19921875,0
2025-12-12 07:45:00+00:00,26043.05078125,26056.25,26008.94921875,26034.69921875,0
2025-12-12 08:45:00+00:00,26054.099609375,26057.400390625,26015.80078125,26042.900390625,0
2025-12-12 09:45:00+00:00,26037.150390625,26054.5,26037.150390625,26053.94921875,0
2025-12-15 03:45:00+00:00,25961.349609375,26004.0,25904.75,25957.25,0
2025-12-15 04:45:00+00:00,25980.94921875,25997.55078125,25946.94921875,25961.349609375,0
2025-12-15 05:45:00+00:00,26018.55078125,26028.0,25961.55078125,25980.849609375,0
2025-12-15 06:45:00+00:00,26042.099609375,26044.599609375,26003.44921875,26019.55078125,0
2025-12-15 07:45:00+00:00,26009.849609375,26043.94921875,25990.150390625,26041.94921875,0
2025-12-15 08:45:00+00:00,26030.05078125,26047.0,26007.400390625,26009.5,0
2025-12-15 09:45:00+00:00,26014.0,26031.55078125,26013.349609375,26029.849609375,0
2025-12-16 03:45:00+00:00,25892.849609375,25970.0,25879.55078125,25966.75,0
2025-12-16 04:45:00+00:00,25898.80078125,25922.69921875,25888.150390625,25892.44921875,0
2025-12-16 05:45:00+00:00,25887.5,25911.19921875,25870.5,25898.25,0
2025-12-16 06:45:00+00:00,25886.849609375,25914.44921875,25875.849609375,25887.05078125,0
2025-12-16 07:45:00+00:00,25883.25,25929.150390625,25875.900390625,25887.650390625,0
2025-12-16 08:45:00+00:00,25856.05078125,25902.05078125,25848.55078125,25883.80078125,0
2025-12-16 09:45:00+00:00,25851.349609375,25858.75,25834.849609375,25858.75,0
2025-12-17 03:45:00+00:00,25841.05078125,25928.650390625,25823.94921875,25902.400390625,0
2025-12-17 04:45:00+00:00,25842.75,25851.75,25801.80078125,25840.150390625,0
2025-12-17 05:45:00+00:00,25796.400390625,25851.30078125,25789.349609375,25842.05078125,0
2025-12-17 06:45:00+00:00,25791.400390625,25812.849609375,25779.69921875,25796.25,0
2025-12-17 07:45:00+00:00,25798.55078125,25826.150390625,25780.900390625,25791.44921875,0
2025-12-17 08:45:00+00:00,25816.349609375,25832.650390625,25770.80078125,25798.5,0
2025-12-17 09:45:00+00:00,25822.650390625,25835.75,25809.19921875,25816.25,0
2025-12-18 03:45:00+00:00,25791.150390625,25804.349609375,25726.75,25785.69921875,0
2025-12-18 04:45:00+00:00,25831.69921875,25863.900390625,25785.650390625,25792.30078125,0
2025-12-18 05:45:00+00:00,25878.80078125,25882.650390625,25821.69921875,25831.44921875,0
2025-12-18 06:45:00+00:00,25879.80078125,25901.30078125,25861.650390625,25878.94921875,0
2025-12-18 07:45:00+00:00,25805.25,25880.0,25802.150390625,25880.0,0
2025-12-18 08:45:00+00:00,25820.400390625,25833.94921875,25770.849609375,25805.30078125,0
2025-12-18 09:45:00+00:00,25815.650390625,25826.19921875,25806.69921875,25821.25,0
