Datetime,close,high,low,open,volume
2025-12-04 03:45:00+00:00,8213.0,8222.0,8062.0,8090.0,0
2025-12-04 04:45:00+00:00,8193.0,8215.0,8182.0,8207.5,8621
2025-12-04 05:45:00+00:00,8165.0,8225.0,8160.0,8193.0,10650
2025-12-04 06:45:00+00:00,8194.0,8210.0,8152.0,8163.0,9630
2025-12-04 07:45:00+00:00,8183.0,8200.0,8168.5,8192.0,5295
2025-12-04 08:45:00+00:00,8199.0,8204.0,8165.5,8181.0,7056
2025-12-04 09:45:00+00:00,8180.0,8201.5,8180.0,8196.0,5560
2025-12-05 03:45:00+00:00,8182.5,8225.5,8159.0,8225.5,0
2025-12-05 04:45:00+00:00,8221.0,8250.5,8168.0,8187.0,11988
2025-12-05 05:45:00+00:00,8214.0,8277.0,8197.5,8227.5,21964
2025-12-05 06:45:00+00:00,8207.5,8220.0,8184.5,8212.0,6934
2025-12-05 07:45:00+00:00,8207.0,8230.0,8200.0,8206.0,15042
2025-12-05 08:45:00+00:00,8226.0,8230.0,8195.0,8208.0,10519
2025-12-05 09:45:00+00:00,8219.0,8230.5,8201.5,8224.5,6886
2025-12-08 03:45:00+00:00,8135.5,8245.5,8125.0,8230.0,0
2025-12-08 04:45:00+00:00,8083.0,8143.0,8078.5,8136.5,8998
2025-12-08 05:45:00+00:00,8061.0,8098.0,8053.5,8084.0,9214
2025-12-08 06:45:00+00:00,8031.0,8068.5,8021.0,8062.5,13098
2025-12-08 07:45:00+00:00,7948.5,8035.0,7940.0,8035.0,17875
2025-12-08 08:45:00+00:00,8040.0,8044.5,7880.5,7942.0,72477
2025-12-08 09:45:00+00:00,8015.0,8038.5,8004.0,8035.0,9214
2025-12-09 03:45:00+00:00,7969.0,7989.5,7915.5,7989.0,24750
2025-12-09 04:45:00+00:00,8024.0,8029.0,7956.0,7970.0,11014
2025-12-09 05:45:00+00:00,8053.5,8065.0,7984.5,8023.5,15093
2025-12-09 06:45:00+00:00,8056.5,8070.0,8030.5,8053.5,10473
2025-12-09 07:45:00+00:00,8082.5,8088.5,8051.0,8057.5,6919
2025-12-09 08:45:00+00:00,8059.5,8084.0,8026.0,8084.0,7729
2025-12-09 09:45:00+00:00,8062.0,8084.0,8055.5,8060.5,6902
2025-12-10 03:45:00+00:00,8065.5,8106.0,8032.5,8087.5,0
2025-12-10 04:45:00+00:00,7996.0,8092.0,7988.0,8065.5,8641
2025-12-10 05:45:00+00:00,7978.0,8005.0,7965.0,7996.0,7675
2025-12-10 06:45:00+00:00,7950.0,7992.0,7938.0,7975.0,29649
2025-12-10 07:45:00+00:00,7934.0,7962.5,7919.5,7950.0,7515
2025-12-10 08:45:00+00:00,7873.0,7937.0,7845.0,7933.5,22727
2025-12-10 09:45:00+00:00,7849.0,7878.5,7832.0,7870.5,12255
2025-12-11 03:45:00+00:00,7913.0,7922.0,7584.5,7712.5,35383
2025-12-11 04:45:00+00:00,7961.5,7986.0,7910.5,7915.0,31252
2025-12-11 05:45:00+00:00,8028.0,8036.5,7958.5,7961.0,21267
2025-12-11 06:45:00+00:00,7995.0,8033.5,7976.0,8023.0,16326
2025-12-11 07:45:00+00:00,7988.0,8020.0,7977.0,7996.5,8392
2025-12-11 08:45:00+00:00,8004.5,8019.5,7956.0,7988.0,24927
2025-12-11 09:45:00+00:00,8010.0,8018.0,7997.0,8004.5,20584
2025-12-12 03:45:00+00:00,7924.5,8023.5,7900.0,7990.0,0
2025-12-12 04:45:00+00:00,7925.0,7942.0,7902.0,7923.0,9409
2025-12-12 05:45:00+00:00,7946.5,7978.0,7923.0,7925.0,10873
2025-12-12 06:45:00+00:00,7959.0,7964.0,7939.5,7945.0,4068
2025-12-12 07:45:00+00:00,7980.5,7990.0,7950.0,7958.5,9188
2025-12-12 08:45:00+00:00,7997.5,7999.5,7944.0,7984.5,13567
2025-12-12 09:45:00+00:00,7975.0,7998.0,7975.0,7996.5,8152
2025-12-15 03:45:00+00:00,7955.5,7995.0,7934.0,7995.0,0
2025-12-15 04:45:00+00:00,7993.0,8010.0,7953.5,7955.5,10381
2025-12-15 05:45:00+00:00,7993.0,7997.0,7971.0,7990.0,3752
2025-12-15 06:45:00+00:00,7974.5,7996.0,7962.0,7989.0,2577
2025-12-15 07:45:00+00:00,7944.0,7976.5,7943.0,7975.0,6767
2025-12-15 08:45:00+00:00,7976.5,7979.5,7943.5,7944.0,6773
2025-12-15 09:45:00+00:00,7960.0,7975.5,7960.0,7975.0,4761
2025-12-16 03:45:00+00:00,7858.0,7955.0,7850.0,7955.0,0
2025-12-16 04:45:00+00:00,7831.0,7870.0,7830.5,7856.5,10344
2025-12-16 05:45:00+00:00,7839.0,7844.5,7818.0,7831.5,9957
2025-12-16 06:45:00+00:00,7860.0,7865.0,7835.0,7839.0,8938
2025-12-16 07:45:00+00:00,7850.5,7864.5,7833.0,7855.0,13837
2025-12-16 08:45:00+00:00,7847.5,7880.0,7835.0,7850.0,21758
2025-12-16 09:45:00+00:00,7790.5,7855.5,7785.0,7840.5,16787
2025-12-17 03:45:00+00:00,7802.5,7861.5,7783.0,7795.5,0
2025-12-17 04:45:00+00:00,7808.0,7810.0,7775.5,7804.0,8343
2025-12-17 05:45:00+00:00,7768.5,7808.5,7762.0,7808.0,8322
2025-12-17 06:45:00+00:00,7757.5,7773.5,7751.5,7770.0,2703
2025-12-17 07:45:00+00:00,7732.0,7766.5,7725.0,7751.5,8079
2025-12-17 08:45:00+00:00,7717.5,7752.5,7695.0,7734.5,24029
2025-12-17 09:45:00+00:00,7712.5,7719.0,7687.0,7717.5,16216
2025-12-18 03:45:00+00:00,7731.5,7763.0,7675.0,7704.5,0
2025-12-18 04:45:00+00:00,7685.5,7738.0,7662.5,7726.5,26580
