Datetime,close,high,low,open,volume
2025-12-04 03:45:00+00:00,59393.5,59411.3984375,59180.94921875,59280.6015625,0
2025-12-04 04:45:00+00:00,59408.80078125,59548.6015625,59390.05078125,59395.3515625,0
2025-12-04 05:45:00+00:00,59250.25,59412.1015625,59225.44921875,59410.3515625,0
2025-12-04 06:45:00+00:00,59180.1015625,59290.5,59134.8515625,59252.55078125,0
2025-12-04 07:45:00+00:00,59154.80078125,59242.69921875,59063.44921875,59179.3984375,0
2025-12-04 08:45:00+00:00,59283.44921875,59314.5,59123.75,59158.1484375,0
2025-12-04 09:45:00+00:00,59272.69921875,59335.55078125,59251.75,59280.19921875,0
2025-12-05 03:45:00+00:00,59561.80078125,59658.6484375,59138.8984375,59161.8984375,0
2025-12-05 04:45:00+00:00,59601.55078125,59677.80078125,59345.05078125,59557.1484375,0
2025-12-05 05:45:00+00:00,59520.1484375,59643.6484375,59517.05078125,59604.0,0
2025-12-05 06:45:00+00:00,59724.94921875,59762.3515625,59505.0,59518.3515625,0
2025-12-05 07:45:00+00:00,59711.3515625,59777.1015625,59629.69921875,59723.1484375,0
2025-12-05 08:45:00+00:00,59778.94921875,59799.1015625,59599.55078125,59711.6015625,0
2025-12-05 09:45:00+00:00,59735.80078125,59805.05078125,59711.30078125,59778.44921875,0
2025-12-08 03:45:00+00:00,59547.25,59711.6015625,59465.8984375,59656.25,0
2025-12-08 04:45:00+00:00,59436.8515625,59620.6484375,59396.3515625,59549.3984375,0
2025-12-08 05:45:00+00:00,59363.25,59445.30078125,59355.94921875,59435.6484375,0
2025-12-08 06:45:00+00:00,59342.25,59406.0,59232.25,59371.5,0
2025-12-08 07:45:00+00:00,59105.1015625,59344.8515625,59068.44921875,59342.3515625,0
2025-12-08 08:45:00+00:00,59249.55078125,59310.5,59031.75,59103.69921875,0
2025-12-08 09:45:00+00:00,59147.30078125,59258.3515625,59110.80078125,59248.69921875,0
2025-12-09 03:45:00+00:00,59055.1015625,59103.44921875,58887.1015625,58918.8515625,0
2025-12-09 04:45:00+00:00,59246.55078125,59263.69921875,59022.05078125,59056.0,0
2025-12-09 05:45:00+00:00,59253.44921875,59284.8515625,59102.55078125,59246.5,0
2025-12-09 06:45:00+00:00,59227.3984375,59316.69921875,59158.8984375,59249.69921875,0
2025-12-09 07:45:00+00:00,59275.8515625,59358.25,59213.6484375,59231.8515625,0
2025-12-09 08:45:00+00:00,59217.3515625,59282.8515625,59170.6015625,59273.80078125,0
2025-12-09 09:45:00+00:00,59212.1015625,59230.94921875,59187.0,59219.05078125,0
2025-12-10 03:45:00+00:00,59375.44921875,59440.1015625,59190.8984375,59277.8984375,0
2025-12-10 04:45:00+00:00,59212.8984375,59427.69921875,59147.5,59379.25,0
2025-12-10 05:45:00+00:00,59046.5,59226.1015625,58974.94921875,59214.55078125,0
2025-12-10 06:45:00+00:00,58964.80078125,59062.55078125,58895.19921875,59048.8515625,0
2025-12-10 07:45:00+00:00,58892.75,59091.8984375,58869.8515625,58963.8984375,0
2025-12-10 08:45:00+00:00,58963.69921875,59009.55078125,58856.3515625,58891.5,0
2025-12-10 09:45:00+00:00,58938.30078125,58979.5,58910.30078125,58964.94921875,0
2025-12-11 03:45:00+00:00,59082.19921875,59113.3984375,58801.55078125,58980.69921875,0
2025-12-11 04:45:00+00:00,59142.30078125,59246.8984375,59077.94921875,59083.8515625,0
2025-12-11 05:45:00+00:00,59345.5,59415.5,59130.80078125,59143.25,0
2025-12-11 06:45:00+00:00,59181.80078125,59423.3515625,59139.8984375,59352.1015625,0
2025-12-11 07:45:00+00:00,59209.30078125,59302.25,59157.8984375,59177.80078125,0
2025-12-11 08:45:00+00:00,59201.1015625,59326.05078125,59135.6484375,59209.30078125,0
2025-12-11 09:45:00+00:00,59204.6015625,59225.30078125,59177.5,59200.8984375,0
2025-12-12 03:45:00+00:00,59441.69921875,59545.19921875,59340.25,59401.5,0
2025-12-12 04:45:00+00:00,59285.3984375,59482.55078125,59225.69921875,59448.69921875,0
2025-12-12 05:45:00+00:00,59382.25,59443.8984375,59282.6015625,59285.3984375,0
2025-12-12 06:45:00+00:00,59378.69921875,59418.3984375,59315.8984375,59382.25,0
2025-12-12 07:45:00+00:00,59389.1484375,59439.94921875,59310.6015625,59378.3984375,0
