Date,close,high,low,open,volume
2024-04-18,323.9702453613281,327.84952670058885,321.7222383277173,325.6114762715344,167780
2024-04-19,324.626708984375,325.6611941124765,315.8834139508624,323.97024091370616,106555
2024-04-22,330.27655029296875,331.4403194458534,323.273931101266,326.2480415536377,178885
2024-04-23,325.3031311035156,330.27657659342475,322.2792677461103,330.27657659342475,110485
2024-04-24,328.5457763671875,329.13266961112237,324.2686256556475,325.46226464075187,65175
2024-04-25,332.5046691894531,334.21553564566887,324.4178419968606,328.24740108056767,506590
2024-04-26,332.11676025390625,334.7427237095248,328.4463550234317,334.73276710470157,160830
2024-04-29,327.3820495605469,332.1167796972094,325.86017635312027,332.1167796972094,74355
2024-04-30,331.4104919433594,332.48477312146315,324.865451320175,329.5802677254613,289770
2024-05-02,332.42510986328125,333.618718571779,325.6612057597843,331.43042076178193,100210
2024-05-03,332.32562255859375,337.18963629969494,330.5849166955195,332.4350237850607,132520
2024-05-06,326.16851806640625,333.9967167059573,322.28923650903386,333.07166309525763,114605
2024-05-07,330.1770935058594,331.89791653109825,323.88069467114536,324.8057785797371,141325
2024-05-08,342.3620300292969,345.2565788368906,328.58558047560894,330.1870456472541,413410
2024-05-09,338.21417236328125,343.1577783388612,335.6876839387891,341.51654741675355,122905
2024-05-10,340.4920349121094,343.5656206924349,334.33490674636084,339.19895118056263,184590
2024-05-13,335.5086364746094,342.24270141394857,334.25534879362084,340.5815571853358,86180
2024-05-14,344.0032653808594,348.14117556740644,332.83289616253035,337.1797129103789,1084140
2024-05-15,350.2996826171875,355.8599911850155,339.44762061738436,343.1975876918257,446035
2024-05-16,343.4860534667969,352.1199477245528,341.97410658011876,351.4833321184772,124935
2024-05-17,344.3912353515625,348.0218446781629,342.1730676189582,344.16244591906843,151010
2024-05-21,343.6650695800781,354.10930469032655,341.1783469347809,353.70147853383764,175620
2024-05-22,344.0331115722656,347.5344366054498,341.9542150115636,343.5656064845622,106240
2024-05-23,341.9442443847656,346.3308267455489,341.28774596796467,346.3308267455489,66600
2024-05-24,341.0689697265625,344.699578973258,338.5921731556937,343.6551371753846,55125
2024-05-27,346.7187805175781,351.52311542610215,340.06430813210267,343.42636208536254,166825
2024-05-28,349.0861511230469,350.6179504781709,344.1723845499554,348.9170406199476,168340
2024-05-29,358.3765563964844,360.6643292612579,347.05698920074565,350.8367957657202,298165
2024-05-30,344.5901184082031,360.0774341167203,343.26719533541,360.0774341167203,159330
2024-05-31,348.88720703125,350.91638132507086,339.5172222130059,347.09677876673334,228785
2024-06-03,343.0782165527344,352.65707731499293,338.46284461958516,352.65707731499293,206320
2024-06-04,341.8348693847656,346.1518165577973,330.05775375143656,338.5921731135954,291085
2024-06-05,377.0567932128906,389.6694433406116,342.2227625389416,344.7592378818367,982370
2024-06-06,374.2617492675781,384.3777209233153,370.22331374729015,383.82069742779305,218010
2024-06-07,374.31146240234375,382.95531333169953,371.7053817503176,374.78892411058257,164845
2024-06-10,374.4507141113281,375.97258718057935,365.1105691342852,374.3114430703044,276240
2024-06-11,381.9506530761719,386.82465389035457,368.2339124126063,378.7975056672108,557250
2024-06-12,379.9215087890625,392.4645236011076,378.3896790960774,381.9506526698719,180410
2024-06-13,370.4819030761719,381.81142678295515,369.22861542014937,381.7616741133928,185955
2024-06-14,367.99517822265625,375.9825306395834,365.25978314349624,372.9487409667162,129220
2024-06-18,367.25909423828125,373.94340590459404,366.24452232978325,370.46199421079575,140825
2024-06-19,364.9414978027344,370.99915076800414,361.80820285905844,369.70603672706585,118540
2024-06-20,375.54486083984375,378.6582426068918,364.0562137767935,367.4381506752042,124195
2024-06-21,369.3380126953125,377.7829135640855,368.0349723836915,377.7829135640855,68880
2024-06-24,371.17816162109375,378.0713493051985,366.0455625899443,370.0243187050524,86475
2024-06-25,366.9407958984375,373.8141010905949,365.84663183827104,373.6251077367706,48840
2024-06-26,359.70941162109375,368.7809710417614,357.292324477199,368.7809710417614,102370
2024-06-27,356.9839782714844,366.03562460949564,354.3778673848716,356.09869042019,93905
2024-06-28,355.302978515625,363.51909029897877,352.3189110488829,359.31157459839505,128380
2024-07-01,371.2279357910156,375.01769909164744,356.2976720250491,357.09341121703574,224940
2024-07-02,381.8014831542969,387.92877201650003,374.7491406595292,380.9659479033834,314180
2024-07-03,411.93060302734375,415.78004499856013,380.7272107272748,384.48713432189334,1373535
2024-07-04,417.3516540527344,422.53400630385795,410.19986709664806,411.93061647839187,526205
2024-07-05,421.4000549316406,424.7322696758423,412.1991802372576,413.9995651814479,247820
2024-07-08,410.8762512207031,423.73757454298993,408.12094286950924,423.72761793780757,864920
2024-07-09,418.4358825683594,421.7283011043129,407.8225363750557,411.79133622260326,225975
2024-07-10,429.0193786621094,437.2653602882663,413.02479034470946,420.17660782506385,1007295
2024-07-11,432.76934814453125,434.53989364234496,416.585766373192,428.7110297115721,372270
2024-07-12,433.19708251953125,441.1545957395403,424.13544855538385,433.6844704904955,430580
2024-07-15,425.8462829589844,432.68974866836663,422.9119683939596,428.1241294457675,113015
2024-07-16,425.5976257324219,432.1924194055481,417.7694272734872,417.7694272734872,305410
2024-07-18,425.42852783203125,440.2692717730773,423.7375442690387,424.94110954547375,486815
2024-07-19,435.2591552734375,437.71181655414375,419.35667021145775,419.35667021145775,277550
2024-07-22,450.3939208984375,456.63527744014976,437.39279866191004,437.6918925681785,406190
2024-07-23,454.07293701171875,458.45982014093903,439.51643489629515,444.6710431111138,237625
2024-07-24,472.4180908203125,478.5697191394742,453.6442129342933,453.6442129342933,869430
2024-07-25,474.850830078125,476.9744881082448,462.49776483171394,464.7709698160724,216455
2024-07-26,475.4091491699219,476.5756762421707,468.599514296695,468.599514296695,183345
2024-07-29,475.9276123046875,485.94765343350576,472.1887864466743,474.5816289104742,270730
2024-07-30,475.3493347167969,495.31964915251524,473.05620030725436,476.6155699102199,472545
2024-07-31,478.1310119628906,483.47505613816867,471.5905617853687,477.55275362580244,301855
2024-08-01,462.62738037109375,483.5548258825572,459.8755947182052,479.9456174112432,346675
2024-08-02,450.87249755859375,474.3822216078112,445.86746686954575,462.21859284383646,1559535
2024-08-05,443.3749084472656,455.0898961496496,438.25020986032786,443.3449990574316,202645
2024-08-06,439.3768615722656,470.5935635326404,436.51541828938736,464.6114419623102,296385
2024-08-07,460.0550537109375,463.6144233604217,448.40986431473044,450.45374368791994,461080
2024-08-08,457.1337890625,462.61740049073063,455.6482386121053,462.61740049073063,138700
2024-08-09,461.73004150390625,462.4179879226527,455.2793495823854,460.3242697020964,105530
2024-08-12,461.809814453125,465.6184391304899,452.85656160758714,452.85656160758714,129450
2024-08-13,454.16265869140625,463.6044417875072,453.84363533188656,463.6044417875072,86435
2024-08-14,442.5872497558594,457.42291550591665,441.23128643405636,454.44180435635315,92675
2024-08-16,443.73382568359375,447.53247036474687,439.68592594238265,444.6710271435434,104875
2024-08-19,440.32403564453125,451.4408052919105,439.0877098505073,445.95719394393797,534925
2024-08-20,459.7559509277344,463.6144144116718,437.60215984351305,442.6769892446931,122590
2024-08-21,456.884521484375,459.71605529311375,449.04795706272125,458.7589243894968,175520
2024-08-22,461.1816711425781,464.57153380975916,448.65909959685075,448.65909959685075,82765
2024-08-23,454.9503173828125,463.4947884068682,453.4049481335664,461.1019458420235,55770
2024-08-26,450.0050964355469,457.63229527140834,448.4596967903001,455.4986573291885,95375
2024-08-27,451.33111572265625,452.7867871827609,443.6839875075291,450.0549310303112,94280
2024-08-28,456.4757385253906,461.62036656421486,446.86447932849967,453.5943658820816,123005
2024-08-29,449.6661071777344,462.2086083812853,448.060888773054,461.51071247082496,81490
2024-08-30,457.68212890625,460.4638238947321,448.2603058961934,451.8495848447763,198460
2024-09-02,438.1006774902344,459.9753044982911,435.0996367615701,457.6821396370164,254890
2024-09-03,446.4158020019531,462.8167967363892,438.7287846510946,443.27519440485577,154170
2024-09-04,452.65716552734375,457.2135248659573,438.8883185496314,440.88235901477896,181035
2024-09-05,452.1187744140625,453.6442141809459,448.26031091116,452.8466101508455,131035
2024-09-06,449.4168701171875,456.6352871912834,446.93426893557097,452.2484040546872,156945
2024-09-09,446.2363586425781,451.09184237057207,440.09471027825106,450.6431710893777,90400
2024-09-10,449.4766845703125,452.806728614592,446.4955732785552,448.2603186261564,144255
2024-09-11,448.9681701660156,451.650156976009,446.39587140142453,451.650156976009,117415
2024-09-12,446.34600830078125,451.05194499329144,445.07980356500514,450.45372677125386,51740
2024-09-13,440.393798828125,448.6491251445949,438.09068452282804,448.6491251445949,155930
2024-09-16,440.5234069824219,450.6531359912995,439.0876954424775,440.4835176544673,68880
2024-09-17,432.6968078613281,442.4576446125056,429.91514327550914,440.52342289650164,170920
2024-09-18,427.0736389160156,434.7008378993334,424.9400009325463,434.49147216200737,83145
2024-09-19,412.716552734375,430.10458866876314,410.77235103817264,428.3199138668797,399420
2024-09-20,414.8900451660156,424.72065031307307,409.8750344812774,415.7474679838015,227610
2024-09-23,414.82025146484375,423.6039976170939,411.57993558450994,417.55207727050674,105765
2024-09-24,404.0723571777344,417.5819691095485,402.5768268342874,417.5819691095485,185225
2024-09-25,396.5348815917969,403.50404316629255,391.0811797922868,402.79616733227243,393655
2024-09-26,395.1988830566406,400.3734204768906,394.1819029504793,398.3993094707916,69370
2024-09-27,401.4003601074219,405.78724313708875,395.19889291415785,395.19889291415785,205005
2024-09-30,401.0115051269531,426.31588387042046,397.2228403580605,415.44836926072435,525265
